CO2,CH4,N2O,FGAS,ODS,OC,BC,SOX,NOX,BBAER,DUST,CLOUD,O3S,O3T,H2OS,LCC,BCSNOW,VOLC,SOLAR
3.57794,0.405945,0.319171,0.108814,0.075091,-0.0270388,0.0916627,-0.0730863,-0.0466568,0.0354441,-0.1,-0.386723,0.0,0.240338,0.0693823,-0.232204,0.0452895,0.0,0.0431769
3.5804,0.40483,0.319833,0.109579,0.0740223,-0.0270934,0.0915826,-0.0728755,-0.046621,0.0352125,-0.1,-0.386802,0.0,0.24,0.0691906,-0.232252,0.0452499,0.0,0.0322656
3.58213,0.403742,0.320447,0.110317,0.0729735,-0.0271479,0.0915025,-0.0726647,-0.0465853,0.0349809,-0.1,-0.386882,0.0,0.239669,0.0690035,-0.232297,0.0452103,0.0,0.025655
3.58317,0.402676,0.321013,0.111029,0.0719438,-0.0272025,0.0914224,-0.0724539,-0.0465496,0.0347493,-0.1,-0.386961,0.0,0.239345,0.0688201,-0.232339,0.0451708,0.0,0.0725287
3.58341,0.401604,0.321532,0.111714,0.0709311,-0.027257,0.0913423,-0.0722431,-0.0465138,0.0345177,-0.1,-0.38704,0.0,0.239018,0.0686359,-0.23238,0.0451312,0.0,0.146252
3.58288,0.400511,0.322005,0.112372,0.0699339,-0.0273116,0.0912622,-0.0720324,-0.0464781,0.0342861,-0.1,-0.38712,0.0,0.238685,0.0684479,-0.232417,0.0450916,0.0,0.181191
3.58178,0.399416,0.322432,0.113004,0.0689531,-0.0273661,0.0911821,-0.0718216,-0.0464424,0.0340545,-0.1,-0.387199,0.0,0.238352,0.0682595,-0.232452,0.045052,0.0,0.190562
3.58025,0.398332,0.322812,0.113615,0.0679888,-0.0274207,0.091102,-0.0716108,-0.0464066,0.0338229,-0.1,-0.387278,0.0,0.238021,0.0680732,-0.232485,0.0450125,0.0,0.174151
3.57834,0.397272,0.323148,0.114205,0.0670415,-0.0274752,0.0910219,-0.0714,-0.0463709,0.0335913,-0.1,-0.387358,0.0,0.237697,0.067891,-0.232515,0.0449729,0.0,0.130187
3.57606,0.396247,0.323438,0.114777,0.0661116,-0.0275298,0.0909419,-0.0711892,-0.0463352,0.0333597,-0.1,-0.387437,0.0,0.237382,0.0677148,-0.232543,0.0449333,0.0,0.0860781
3.57333,0.395257,0.323684,0.115331,0.0651987,-0.0275843,0.0908618,-0.0709784,-0.0462994,0.0331281,-0.1,-0.387516,0.0,0.237076,0.0675444,-0.232568,0.0448938,0.0,0.0592681
3.57004,0.394289,0.323886,0.115869,0.0643019,-0.0276389,0.0907817,-0.0707676,-0.0462637,0.0328965,-0.1,-0.387595,0.0,0.236776,0.0673781,-0.232591,0.0448542,0.0,0.0431769
3.56612,0.393338,0.324045,0.11639,0.0634207,-0.0276934,0.0907016,-0.0705569,-0.046228,0.0326649,-0.1,-0.387675,0.0,0.23648,0.0672145,-0.232611,0.0448146,0.0,0.0322656
3.56155,0.3924,0.32416,0.116895,0.0625546,-0.0277479,0.0906215,-0.0703461,-0.0461922,0.0324333,-0.1,-0.387754,0.0,0.236188,0.0670532,-0.232628,0.044775,0.0,0.025655
3.55635,0.391472,0.324233,0.117384,0.0617032,-0.0278025,0.0905414,-0.0701353,-0.0461565,0.0322017,-0.1,-0.387833,0.0,0.235898,0.0668937,-0.232643,0.0447355,0.0,0.0725287
3.55042,0.390528,0.324263,0.117855,0.0608647,-0.027857,0.0904613,-0.0699245,-0.0461208,0.0319701,-0.1,-0.387912,0.0,0.235604,0.0667315,-0.232656,0.0446959,0.0,0.146252
3.54376,0.389553,0.324251,0.118308,0.0600382,-0.0279116,0.0903812,-0.0697137,-0.046085,0.0317385,-0.1,-0.387991,0.0,0.235301,0.066564,-0.232666,0.0446563,0.0,0.181191
3.53658,0.388569,0.324197,0.118746,0.0592243,-0.0279661,0.0903011,-0.0695029,-0.0460493,0.0315069,-0.1,-0.38807,0.0,0.234995,0.0663947,-0.232673,0.0446168,0.0,0.190562
3.529,0.387589,0.324103,0.119169,0.0584234,-0.0280207,0.090221,-0.0692922,-0.0460136,0.0312753,-0.1,-0.388149,0.0,0.234691,0.0662263,-0.232679,0.0445772,0.0,0.174151
3.52108,0.386626,0.323967,0.119581,0.0576358,-0.0280752,0.0901409,-0.0690814,-0.0459778,0.0310437,-0.1,-0.388228,0.0,0.23439,0.0660608,-0.232681,0.0445376,0.0,0.130187
3.51283,0.385693,0.323791,0.119982,0.0568619,-0.0281298,0.0900608,-0.0688706,-0.0459421,0.030812,-0.1,-0.388307,0.0,0.234098,0.0659004,-0.232682,0.044498,0.0,0.0860781
